"speaker","word","speech_act","count","total","rel_freq","lower","upper","ppt","upper_ppt","lower_ppt"
"child","and","declarative",63994,3734270,0.017136950461536,0.0170055599490198,0.0172690904852436,17.136950461536,17.2690904852436,17.0055599490198
"child","and","imperative",1668,113800,0.0146572934973638,0.0139670604487667,0.0153724193954554,14.6572934973638,15.3724193954554,13.9670604487667
"child","and","other",6243,154556,0.0403931261161003,0.0394169862078984,0.0413865547621757,40.3931261161003,41.3865547621757,39.4169862078984
"child","and","question",6538,678430,0.00963695591291659,0.00940584673960765,0.00987226660775198,9.63695591291659,9.87226660775198,9.40584673960765
"child","or","declarative",1635,3734270,0.000437836578501287,0.000416872928994172,0.000459581077978388,0.437836578501287,0.459581077978388,0.416872928994172
"child","or","imperative",30,113800,0.000263620386643234,0.000177870413528236,0.000376313284171648,0.263620386643234,0.376313284171648,0.177870413528236
"child","or","other",144,154556,0.000931701130981651,0.000785798632033097,0.0010968160834911,0.931701130981651,1.0968160834911,0.785798632033097
"child","or","question",781,678430,0.00115118730008991,0.00107189782528216,0.00123478445649106,1.15118730008991,1.23478445649106,1.07189782528216
"child","other","declarative",3668641,3734270,0.982425212959963,0.982291432047857,0.982558245052916,982.425212959963,982.558245052916,982.291432047857
"child","other","imperative",112102,113800,0.985079086115993,0.984357811770339,0.985775482921426,985.079086115993,985.775482921426,984.357811770339
"child","other","other",148169,154556,0.958675172752918,0.957670989110001,0.959662103518062,958.675172752918,959.662103518062,957.670989110001
"child","other","question",671111,678430,0.989211856786994,0.98896320166409,0.989456321202561,989.211856786994,989.456321202561,988.96320166409
"parent","and","declarative",111900,5647849,0.0198128526453168,0.0196980800078298,0.0199281179405997,19.8128526453168,19.9281179405997,19.6980800078298
"parent","and","imperative",1539,109795,0.0140170317409718,0.0133299613623191,0.0147299456637118,14.0170317409718,14.7299456637118,13.3299613623191
"parent","and","other",12317,318641,0.0386547870487476,0.0379880887870024,0.0393298923743,38.6547870487477,39.3298923743,37.9880887870024
"parent","and","question",43513,3402268,0.0127894098877572,0.0126702805301019,0.0129093695374414,12.7894098877572,12.9093695374414,12.6702805301019
"parent","or","declarative",6846,5647849,0.00121214288838105,0.00118361442633041,0.00124118465927892,1.21214288838105,1.24118465927892,1.18361442633041
"parent","or","imperative",43,109795,0.000391638963522929,0.000283445105712765,0.000527499266990472,0.391638963522929,0.527499266990472,0.283445105712765
"parent","or","other",889,318641,0.00278997366942735,0.00260979632937164,0.00297928578437923,2.78997366942735,2.97928578437923,2.60979632937164
"parent","or","question",8193,3402268,0.00240809953830798,0.00235629567275464,0.00246075317109906,2.40809953830798,2.46075317109906,2.35629567275464
"parent","other","declarative",5529103,5647849,0.978975004466302,0.978856349525394,0.979093168007406,978.975004466302,979.093168007406,978.856349525394
"parent","other","imperative",108213,109795,0.985591329295505,0.984868920921498,0.986287917931144,985.591329295505,986.287917931144,984.868920921498
"parent","other","other",305435,318641,0.958555239281825,0.957857432544406,0.959244690646025,958.555239281825,959.244690646025,957.857432544406
"parent","other","question",3350562,3402268,0.984802490573935,0.984671935840757,0.984932219228614,984.802490573935,984.932219228614,984.671935840757
